01-Aug,7,Spandana Hospital Srishti Reg + Consultation,20,600
01-Aug,7,Spandana Hospital Zray,20,700
01-Aug,7,Ramdev Medicals,20,2072
01-Aug,2,IRCTC retiring Rooms,12,975
01-Aug,4,Radha S Iron Man,5,80
02-Aug,7,Madhura Wines,10,170
02-Aug,7,Madhura Wines,10,170
02-Aug,7,Madhuloka,10,9300
02-Aug,2,Yogendra Yadav,10,330
03-Aug,8,CRED Lecious,4,265
03-Aug,8,CRED Fresh2Home,4,454
03-Aug,1,ATM Withdrawal Cash,25,12000
04-Aug,7,Viacomm Media - VOOT Subscription,5,299
04-Aug,2,Bhagwati Fancy Gift Store - Srishti Pooja,11,750
05-Aug,7,HPCL Car Petrol,5,3401.4
05-Aug,2,Pappu Pan Shop Samose,9,50
05-Aug,8,Amazon Pay 4ery,4,332
05-Aug,8,Amazon Pay 4ery,4,1883.05
05-Aug,1,INTERCITY ECS PAID NACH:Paid to RACPC KORAMANGALA BE:SBIN00888000012207:STATE BANK OF INDIA Refno:NCACDOSYM2208050000366790 -STATE BANK OF INDIA,5,40504
05-Aug,4,CCAvenue Asmita Rakhi Hamper Kids,11,2500
05-Aug,4,All Season Hypermart,8,1040
06-Aug,8,Amazon,4,869.6
07-Aug,7,DMart - 4ery,4,7689.57
07-Aug,8,Amazon,4,-379
07-Aug,8,Amazon,4,-349
08-Aug,7,Ramdev Medicals,20,190
08-Aug,15,Madhuloka,10,9300
08-Aug,2,India Kuo ShU Federation Kumfu,15,1500
08-Aug,2,Usha Ranganath - Ishi Tution Fee Kannada Aug,15,1000
08-Aug,2,Juna Adithyan - 21 Birthday Cake,9,1000
08-Aug,8,Airtel Pay _ Electricity Bill,5,3619
08-Aug,8,Airtel Pay - Mobile & Landline,5,1061
08-Aug,8,Airtel Pay - Mobile & Landline,5,1119
08-Aug,4,GoKwick,8,539
09-Aug,2,Satyaraj Joshi - Car Clenaing,5,600
09-Aug,12,Sompura Service Station Scooty ,5,438.88
09-Aug,8,Amazon Pay,8,569
09-Aug,8,Amazon Pay,8,1224
09-Aug,8,Amazon Pay,8,1866
09-Aug,8,Amazon Pay,8,498
09-Aug,8,Amazon Pay,8,1206
09-Aug,8,Amazon Pay,8,1226
09-Aug,8,Amazon Pay,8,2385
09-Aug,8,Amazon Pay,8,793.29
09-Aug,8,Amazon Pay 4ery,4,808
10-Aug,7,A1 SuperMart ,4,11000
10-Aug,12,BookMyShow - Karthikeya 2 Telgu,8,609.3
10-Aug,8,A1 Supermart ,4,24000
11-Aug,7,Spandana Health Science - Srishti,20,450
11-Aug,1,Shishir Poojari Homeopathy Medicines,20,1424
11-Aug,1,Jagdamba Electricals Bathroom Shower,5,5700
11-Aug,4,Decathlon Nikhil Bath Robe,8,1548
11-Aug,4,Grofers Prateek Rakhi Gift,11,1501
12-Aug,7,Swiggy ,9,381
12-Aug,7,Fresica retail Rakhi,4,55
12-Aug,1,Srinivasan Srinivasan - Iron Man,5,190
12-Aug,8,Amazon Pay,8,519
12-Aug,8,Amazon Pay,8,914
12-Aug,4,BigBasket Rakhi Gift,11,1299
13-Aug,7,Inox Retail - Rakshabandhan Movie,8,1340
13-Aug,7,Madhuloka ,10,6300
14-Aug,7,Tasty Yum Breakfast ,9,260
14-Aug,7,Jockey Piyu School Pants,15,1299
14-Aug,7,Tasty Yum Ishi Idli ,9,35
14-Aug,4,Mere BAN,11,1100
14-Aug,4,Mere BAN,11,150
15-Aug,8,Licious Razarpay,4,1023
15-Aug,4,Papu Dew Stationary Shop near Rasganga,11,1642
16-Aug,2,Anand D S. S R N Traders. Frooti chips,4,490
16-Aug,8,DMart - 4ery,4,1148
16-Aug,8,Amazon,8,-914
16-Aug,8,Amazon,8,-618
17-Aug,2,Syed Umar - Mobile Repai,5,2400
17-Aug,2,Syed Umar Previous Srishti Printout,15,1500
17-Aug,7,Madhuloka,10,6300
18-Aug,1,Sangeetha S P Dosa and Idli,9,75
18-Aug,8,Amazon,8,-494.1
18-Aug,4,Licious Razarpay,4,208
19-Aug,2,Peria Madhu Shop,9,70
20-Aug,2,Srinivasan Srinivasan - Iron Man,5,160
20-Aug,2,Ramdev Medicals ,20,196
20-Aug,15,Madhuloka Beer,10,3000
20-Aug,7,BookMyShow - Karthikeya 2 Hindi,8,1650.6
20-Aug,7,Zoomcar Indi Bangalore - BBS Car,12,11971
20-Aug,1,Scalar EMI 8/12,15,16005.68
21-Aug,2,Brahmins Thatte Idli Yelahanka,8,178
21-Aug,7,Inox Leisure ,8,920
21-Aug,7,Health and Glow Srishti,8,2876
21-Aug,8,Amazon,8,3063
21-Aug,4,Inox 9ing,8,440
21-Aug,4,MD Riyaz Anand,8,180
22-Aug,2,Srinivas D. Home Plumbing Maint,5,300
